ID,Timestamp,Temperature (°C),Humidity (%),Gas Level (ppm),Noise Level (dB),System Alert,Alert Class
1,2025-04-01 09:00:00,49.6,68.2,153.7,38.3,"Temp, Gas Alert",9
2,2025-04-01 09:01:00,50.0,78.7,92.4,53.9,"Temp, Humidity, Noise Alert",14
3,2025-04-01 09:02:00,38.1,82.8,137.2,48.7,"Humidity, Gas Alert",3
4,2025-04-01 09:03:00,48.4,60.6,148.6,58.7,"Temp, Gas, Noise Alert",10
5,2025-04-01 09:04:00,35.3,59.1,153.3,45.0,Gas Alert,0
6,2025-04-01 09:05:00,50.7,48.2,112.9,51.4,"Temp, Gas, Noise Alert",10
7,2025-04-01 09:06:00,47.6,69.3,145.3,60.3,"Temp, Gas, Noise Alert",10
8,2025-04-01 09:07:00,46.1,59.5,149.1,50.8,"Temp, Gas, Noise Alert",10
9,2025-04-01 09:08:00,53.6,43.0,142.7,50.0,"Temp, Gas Alert",9
10,2025-04-01 09:09:00,47.8,55.2,159.4,62.9,"Temp, Gas, Noise Alert",10
11,2025-04-01 09:10:00,33.1,49.5,138.9,45.4,Gas Alert,0
12,2025-04-01 09:11:00,54.8,83.0,114.2,53.9,"Temp, Humidity, Gas, Noise Alert",13
13,2025-04-01 09:12:00,50.6,40.6,140.9,38.8,"Temp, Gas Alert",9
14,2025-04-01 09:13:00,46.1,78.8,109.6,36.1,"Temp, Humidity, Gas Alert",12
15,2025-04-01 09:14:00,48.9,51.3,159.0,43.4,"Temp, Gas Alert",9
16,2025-04-01 09:15:00,48.5,74.5,105.0,45.4,"Temp, Gas Alert",9
17,2025-04-01 09:16:00,32.0,69.3,101.7,35.1,Gas Alert,0
18,2025-04-01 09:17:00,37.6,67.8,93.0,54.0,Noise Alert,6
19,2025-04-01 09:18:00,41.0,64.3,124.0,36.5,Gas Alert,0
20,2025-04-01 09:19:00,53.8,81.9,128.7,63.4,"Temp, Humidity, Gas, Noise Alert",13
21,2025-04-01 09:20:00,51.1,43.5,144.3,45.1,"Temp, Gas Alert",9
22,2025-04-01 09:21:00,41.3,66.9,118.9,49.4,Gas Alert,0
23,2025-04-01 09:22:00,44.2,68.7,145.6,42.0,Gas Alert,0
24,2025-04-01 09:23:00,50.0,41.6,108.1,53.4,"Temp, Gas, Noise Alert",10
25,2025-04-01 09:24:00,41.4,82.6,141.1,58.4,"Humidity, Gas, Noise Alert",4
26,2025-04-01 09:25:00,46.5,78.7,155.4,49.3,"Temp, Humidity, Gas Alert",12
27,2025-04-01 09:26:00,35.7,47.7,120.9,57.1,"Gas, Noise Alert",1
28,2025-04-01 09:27:00,53.8,65.3,137.9,35.5,"Temp, Gas Alert",9
29,2025-04-01 09:28:00,40.8,67.3,112.8,48.3,Gas Alert,0
30,2025-04-01 09:29:00,30.3,66.9,84.2,52.8,Noise Alert,6
31,2025-04-01 09:30:00,54.9,57.0,106.4,49.5,"Temp, Gas Alert",9
32,2025-04-01 09:31:00,50.7,51.5,126.6,48.7,"Temp, Gas Alert",9
33,2025-04-01 09:32:00,40.4,64.9,139.2,63.0,"Gas, Noise Alert",1
34,2025-04-01 09:33:00,41.2,70.5,122.6,60.4,"Gas, Noise Alert",1
35,2025-04-01 09:34:00,34.0,73.8,116.3,52.1,"Gas, Noise Alert",1
36,2025-04-01 09:35:00,31.7,55.7,85.6,39.3,Normal,7
37,2025-04-01 09:36:00,33.4,75.2,104.2,39.6,"Humidity, Gas Alert",3
38,2025-04-01 09:37:00,48.7,78.5,145.3,43.2,"Temp, Humidity, Gas Alert",12
39,2025-04-01 09:38:00,52.3,82.2,115.1,35.5,"Temp, Humidity, Gas Alert",12
40,2025-04-01 09:39:00,31.9,71.0,103.0,36.7,Gas Alert,0
